DATE,CORESTICKM159SFRBATL
1986-03-09,5.212476107
1986-03-16,5.212476107
1986-03-23,5.212476107
1986-03-30,5.212476107
1986-04-06,5.352667382
1986-04-13,5.352667382
1986-04-20,5.352667382
1986-04-27,5.352667382
1986-05-04,5.024657147
1986-05-11,5.024657147
1986-05-18,5.024657147
1986-05-25,5.024657147
1986-06-01,5.026885723
1986-06-08,5.026885723
1986-06-15,5.026885723
1986-06-22,5.026885723
1986-06-29,5.026885723
1986-07-06,4.960427947
1986-07-13,4.960427947
1986-07-20,4.960427947
1986-07-27,4.960427947
1986-08-03,4.823456322
1986-08-10,4.823456322
1986-08-17,4.823456322
1986-08-24,4.823456322
1986-08-31,4.823456322
1986-09-07,4.947499067
1986-09-14,4.947499067
1986-09-21,4.947499067
1986-09-28,4.947499067
1986-10-05,4.881662479
1986-10-12,4.881662479
1986-10-19,4.881662479
1986-10-26,4.881662479
1986-11-02,4.575152807
1986-11-09,4.575152807
1986-11-16,4.575152807
1986-11-23,4.575152807
1986-11-30,4.575152807
1986-12-07,4.654910621
1986-12-14,4.654910621
1986-12-21,4.654910621
1986-12-28,4.654910621
1987-01-04,4.492110038
1987-01-11,4.492110038
1987-01-18,4.492110038
1987-01-25,4.492110038
1987-02-01,4.45173175
1987-02-08,4.45173175
1987-02-15,4.45173175
1987-02-22,4.45173175
1987-03-01,4.276017854
1987-03-08,4.276017854
1987-03-15,4.276017854
1987-03-22,4.276017854
1987-03-29,4.276017854
1987-04-05,4.371203735
1987-04-12,4.371203735
1987-04-19,4.371203735
1987-04-26,4.371203735
1987-05-03,4.429512321
1987-05-10,4.429512321
1987-05-17,4.429512321
1987-05-24,4.429512321
1987-05-31,4.429512321
1987-06-07,4.187984457
1987-06-14,4.187984457
1987-06-21,4.187984457
1987-06-28,4.187984457
1987-07-05,4.178766144
1987-07-12,4.178766144
1987-07-19,4.178766144
1987-07-26,4.178766144
1987-08-02,4.293051178
1987-08-09,4.293051178
1987-08-16,4.293051178
1987-08-23,4.293051178
1987-08-30,4.293051178
1987-09-06,4.305931321
1987-09-13,4.305931321
1987-09-20,4.305931321
1987-09-27,4.305931321
1987-10-04,4.356981982
1987-10-11,4.356981982
1987-10-18,4.356981982
1987-10-25,4.356981982
1987-11-01,4.329616016
1987-11-08,4.329616016
1987-11-15,4.329616016
1987-11-22,4.329616016
1987-11-29,4.329616016
1987-12-06,4.291749243
1987-12-13,4.291749243
1987-12-20,4.291749243
1987-12-27,4.291749243
1988-01-03,4.373233966
1988-01-10,4.373233966
1988-01-17,4.373233966
1988-01-24,4.373233966
1988-01-31,4.373233966
1988-02-07,4.375628463
1988-02-14,4.375628463
1988-02-21,4.375628463
1988-02-28,4.375628463
1988-03-06,4.440936865
1988-03-13,4.440936865
1988-03-20,4.440936865
1988-03-27,4.440936865
1988-04-03,4.37597416
1988-04-10,4.37597416
1988-04-17,4.37597416
1988-04-24,4.37597416
1988-05-01,4.432652625
1988-05-08,4.432652625
1988-05-15,4.432652625
1988-05-22,4.432652625
1988-05-29,4.432652625
1988-06-05,4.673118224
1988-06-12,4.673118224
1988-06-19,4.673118224
1988-06-26,4.673118224
1988-07-03,4.70086963
1988-07-10,4.70086963
1988-07-17,4.70086963
1988-07-24,4.70086963
